Size,Type,Algorithm,Time_microseconds
3300,Reverse Sorted,Hybrid Merge+Insertion Sort,1901
3300,Nearly Sorted,Standard Merge Sort,9724
3300,Nearly Sorted,Hybrid Merge+Insertion Sort,1990
3400,Random,Standard Merge Sort,10845
3400,Random,Hybrid Merge+Insertion Sort,1928
3400,Reverse Sorted,Standard Merge Sort,7967
3400,Reverse Sorted,Hybrid Merge+Insertion Sort,2275
3400,Nearly Sorted,Standard Merge Sort,10482
3400,Nearly Sorted,Hybrid Merge+Insertion Sort,1610
3500,Random,Standard Merge Sort,8617
3500,Random,Hybrid Merge+Insertion Sort,1845
3500,Reverse Sorted,Standard Merge Sort,7095
3500,Reverse Sorted,Hybrid Merge+Insertion Sort,1636
3500,Nearly Sorted,Standard Merge Sort,9334
3500,Nearly Sorted,Hybrid Merge+Insertion Sort,1428
3600,Random,Standard Merge Sort,10884
3600,Random,Hybrid Merge+Insertion Sort,2052
3600,Reverse Sorted,Standard Merge Sort,8604
3600,Reverse Sorted,Hybrid Merge+Insertion Sort,2556
3600,Nearly Sorted,Standard Merge Sort,10293
3600,Nearly Sorted,Hybrid Merge+Insertion Sort,1441
3700,Random,Standard Merge Sort,8225
3700,Random,Hybrid Merge+Insertion Sort,1933
3700,Reverse Sorted,Standard Merge Sort,7620
3700,Reverse Sorted,Hybrid Merge+Insertion Sort,1787
3700,Nearly Sorted,Standard Merge Sort,7660
3700,Nearly Sorted,Hybrid Merge+Insertion Sort,1493
3800,Random,Standard Merge Sort,8895
3800,Random,Hybrid Merge+Insertion Sort,2466
3800,Reverse Sorted,Standard Merge Sort,9865
3800,Reverse Sorted,Hybrid Merge+Insertion Sort,2237
3800,Nearly Sorted,Standard Merge Sort,9536
3800,Nearly Sorted,Hybrid Merge+Insertion Sort,1547
3900,Random,Standard Merge Sort,8966
3900,Random,Hybrid Merge+Insertion Sort,2607
3900,Reverse Sorted,Standard Merge Sort,11888
3900,Reverse Sorted,Hybrid Merge+Insertion Sort,2018
3900,Nearly Sorted,Standard Merge Sort,12060
3900,Nearly Sorted,Hybrid Merge+Insertion Sort,1735
4000,Random,Standard Merge Sort,9245
4000,Random,Hybrid Merge+Insertion Sort,3047
4000,Reverse Sorted,Standard Merge Sort,8417
4000,Reverse Sorted,Hybrid Merge+Insertion Sort,2011
4000,Nearly Sorted,Standard Merge Sort,8590
4000,Nearly Sorted,Hybrid Merge+Insertion Sort,1885
4100,Random,Standard Merge Sort,9716
4100,Random,Hybrid Merge+Insertion Sort,3397
4100,Reverse Sorted,Standard Merge Sort,14366
4100,Reverse Sorted,Hybrid Merge+Insertion Sort,3193
4100,Nearly Sorted,Standard Merge Sort,9772
4100,Nearly Sorted,Hybrid Merge+Insertion Sort,2468
4200,Random,Standard Merge Sort,13277
4200,Random,Hybrid Merge+Insertion Sort,2847
4200,Reverse Sorted,Standard Merge Sort,8655
4200,Reverse Sorted,Hybrid Merge+Insertion Sort,2322
4200,Nearly Sorted,Standard Merge Sort,8703
4200,Nearly Sorted,Hybrid Merge+Insertion Sort,2139
4300,Random,Standard Merge Sort,9890
4300,Random,Hybrid Merge+Insertion Sort,2641
4300,Reverse Sorted,Standard Merge Sort,8762
4300,Reverse Sorted,Hybrid Merge+Insertion Sort,2258
4300,Nearly Sorted,Standard Merge Sort,8903
4300,Nearly Sorted,Hybrid Merge+Insertion Sort,2193
4400,Random,Standard Merge Sort,11565
4400,Random,Hybrid Merge+Insertion Sort,2838
4400,Reverse Sorted,Standard Merge Sort,19308
4400,Reverse Sorted,Hybrid Merge+Insertion Sort,3267
4400,Nearly Sorted,Standard Merge Sort,9596
4400,Nearly Sorted,Hybrid Merge+Insertion Sort,2685
4500,Random,Standard Merge Sort,10872
4500,Random,Hybrid Merge+Insertion Sort,2901
4500,Reverse Sorted,Standard Merge Sort,9141
4500,Reverse Sorted,Hybrid Merge+Insertion Sort,2333
4500,Nearly Sorted,Standard Merge Sort,9575
4500,Nearly Sorted,Hybrid Merge+Insertion Sort,2221
4600,Random,Standard Merge Sort,10400
4600,Random,Hybrid Merge+Insertion Sort,2760
4600,Reverse Sorted,Standard Merge Sort,9390
4600,Reverse Sorted,Hybrid Merge+Insertion Sort,3439
4600,Nearly Sorted,Standard Merge Sort,10133
4600,Nearly Sorted,Hybrid Merge+Insertion Sort,2294
4700,Random,Standard Merge Sort,12173
4700,Random,Hybrid Merge+Insertion Sort,3163
4700,Reverse Sorted,Standard Merge Sort,10579
4700,Reverse Sorted,Hybrid Merge+Insertion Sort,2467
4700,Nearly Sorted,Standard Merge Sort,10525
4700,Nearly Sorted,Hybrid Merge+Insertion Sort,2315
4800,Random,Standard Merge Sort,10782
4800,Random,Hybrid Merge+Insertion Sort,3073
4800,Reverse Sorted,Standard Merge Sort,14002
4800,Reverse Sorted,Hybrid Merge+Insertion Sort,3743
4800,Nearly Sorted,Standard Merge Sort,13051
4800,Nearly Sorted,Hybrid Merge+Insertion Sort,3151
4900,Random,Standard Merge Sort,14521
4900,Random,Hybrid Merge+Insertion Sort,3777
4900,Reverse Sorted,Standard Merge Sort,12867
4900,Reverse Sorted,Hybrid Merge+Insertion Sort,3058
4900,Nearly Sorted,Standard Merge Sort,12714
4900,Nearly Sorted,Hybrid Merge+Insertion Sort,2904
5000,Random,Standard Merge Sort,11212
5000,Random,Hybrid Merge+Insertion Sort,2939
5000,Reverse Sorted,Standard Merge Sort,10295
5000,Reverse Sorted,Hybrid Merge+Insertion Sort,2503
5000,Nearly Sorted,Standard Merge Sort,10874
5000,Nearly Sorted,Hybrid Merge+Insertion Sort,2475
5100,Random,Standard Merge Sort,15892
